# Synthetic layer model of sediments and topography
#   lon   lat   height   thickness   density
-5 31.5 800 824.189 1900
-4.5 31.5 800 841.004 1900
-4 31.5 800 865.752 1900
-3.5 31.5 800 899.739 1900
-3 31.5 800 943.117 1900
-2.5 31.5 800 994.265 1900
-2 31.5 800 1049.44 1900
-1.5 31.5 800 1102.98 1900
-1 31.5 800 1148.12 1900
-0.5 31.5 800 1178.38 1900
0 31.5 800 1189.03 1900
0.5 31.5 800 1178.38 1900
1 31.5 800 1148.12 1900
1.5 31.5 800 1102.98 1900
2 31.5 800 1049.44 1900
2.5 31.5 800 994.265 1900
3 31.5 800 943.117 1900
3.5 31.5 800 899.739 1900
4 31.5 800 865.752 1900
4.5 31.5 800 841.004 1900
5 31.5 800 824.189 1900
5.5 31.5 800 813.498 1900
6 31.5 800 807.125 1900
6.5 31.5 800 803.558 1900
7 31.5 800 801.681 1900
7.5 31.5 800 800.751 1900
8 31.5 800 800.317 1900
8.5 31.5 800 800.127 1900
9 31.5 800 800.048 1900
9.5 31.5 800 800.017 1900
10 31.5 800 800.006 1900
-10 32 800 800.008 1900
-9.5 32 800 800.024 1900
-9 32 800 800.067 1900
-8.5 32 800 800.177 1900
-8 32 800 800.442 1900
-7.5 32 800 801.045 1900
-7 32 800 802.338 1900
-6.5 32 800 804.949 1900
-6 32 800 809.911 1900
-5.5 32 800 818.776 1900
-5 32 800 833.646 1900
-4.5 32 800 857.035 1900
-4 32 800 891.459 1900
-3.5 32 800 938.733 1900
-3 32 800 999.072 1900
-2.5 32 800 1070.22 1900
-2 32 800 1146.96 1900
-1.5 32 800 1221.43 1900
-1 32 800 1284.23 1900
-0.5 32 800 1326.31 1900
0 32 800 1341.13 1900
0.5 32 800 1326.31 1900
1 32 800 1284.23 1900
1.5 32 800 1221.43 1900
2 32 800 1146.96 1900
2.5 32 800 1070.22 1900
3 32 800 999.072 1900
3.5 32 800 938.733 1900
4 32 800 891.459 1900
4.5 32 800 857.035 1900
5 32 800 833.646 1900
5.5 32 800 818.776 1900
6 32 800 809.911 1900
6.5 32 800 804.949 1900
7 32 800 802.338 1900
7.5 32 800 801.045 1900
8 32 800 800.442 1900
8.5 32 800 800.177 1900
9 32 800 800.067 1900
9.5 32 800 800.024 1900
10 32 800 800.008 1900
-10 32.5 800 800.011 1900
-9.5 32.5 800 800.033 1900
-9 32.5 800 800.091 1900
-8.5 32.5 800 800.241 1900
-8 32.5 800 800.602 1900
-7.5 32.5 800 801.424 1900
-7 32.5 800 803.187 1900
-6.5 32.5 800 806.748 1900
-6 32.5 800 813.513 1900
-5.5 32.5 800 825.599 1900
-5 32.5 800 845.874 1900
-4.5 32.5 800 877.763 1900
-4 32.5 800 924.697 1900
-3.5 32.5 800 989.153 1900
-3 32.5 800 1071.42 1900
-2.5 32.5 800 1168.42 1900
-2 32.5 800 1273.06 1900
-1.5 32.5 800 1374.59 1900
-1 32.5 800 1460.21 1900
-0.5 32.5 800 1517.58 1900
0 32.5 800 1537.79 1900
0.5 32.5 800 1517.58 1900
1 32.5 800 1460.21 1900
1.5 32.5 800 1374.59 1900
2 32.5 800 1273.06 1900
2.5 32.5 800 1168.42 1900
3 32.5 800 1071.42 1900
3.5 32.5 800 989.153 1900
4 32.5 800 924.697 1900
4.5 32.5 800 877.763 1900
5 32.5 800 845.874 1900
5.5 32.5 800 825.599 1900
6 32.5 800 813.513 1900
6.5 32.5 800 806.748 1900
7 32.5 800 803.187 1900
7.5 32.5 800 801.424 1900
8 32.5 800 800.602 1900
8.5 32.5 800 800.241 1900
9 32.5 800 800.091 1900
9.5 32.5 800 800.033 1900
10 32.5 800 800.011 1900
-10 33 800 800.015 1900
-9.5 33 800 800.044 1900
-9 33 800 800.122 1900
-8.5 33 800 800.322 1900
-8 33 800 800.805 1900
-7.5 33 800 801.903 1900
-7 33 800 804.26 1900
-6.5 33 800 809.018 1900
-6 33 800 818.059 1900
-5.5 33 800 834.211 1900
-5 33 800 861.307 1900
-4.5 33 800 903.925 1900
-4 33 800 966.649 1900
-3.5 33 800 1052.79 1900
-3 33 800 1162.73 1900
-2.5 33 800 1292.37 1900
-2 33 800 1432.21 1900
-1.5 33 800 1567.9 1900
-1 33 800 1682.32 1900
-0.5 33 800 1759 1900
0 33 800 1786.01 1900
0.5 33 800 1759 1900
1 33 800 1682.32 1900
1.5 33 800 1567.9 1900
2 33 800 1432.21 1900
2.5 33 800 1292.37 1900
3 33 800 1162.73 1900
3.5 33 800 1052.79 1900
4 33 800 966.649 1900
4.5 33 800 903.925 1900
5 33 800 861.307 1900
5.5 33 800 834.211 1900
6 33 800 818.059 1900
6.5 33 800 809.018 1900
7 33 800 804.26 1900
7.5 33 800 801.903 1900
8 33 800 800.805 1900
8.5 33 800 800.322 1900
9 33 800 800.122 1900
9.5 33 800 800.044 1900
10 33 800 800.015 1900
-10 33.5 800 800.019 1900
-9.5 33.5 800 800.057 1900
-9 33.5 800 800.159 1900
-8.5 33.5 800 800.421 1900
-8 33.5 800 801.054 1900
-7.5 33.5 800 802.493 1900
-7 33.5 800 805.58 1900
-6.5 33.5 800 811.813 1900
-6 33.5 800 823.657 1900
-5.5 33.5 800 844.815 1900
-5 33.5 800 880.309 1900
-4.5 33.5 799.999 936.137 1900
-4 33.5 799.999 1018.3 1900
-3.5 33.5 799.999 1131.14 1900
-3 33.5 799.998 1275.16 1900
-2.5 33.5 799.998 1444.98 1900
-2 33.5 799.997 1628.17 1900
-1.5 33.5 799.996 1805.92 1900
-1 33.5 799.996 1955.8 1900
-0.5 33.5 799.995 2056.25 1900
0 33.5 799.995 2091.63 1900
0.5 33.5 799.995 2056.25 1900
1 33.5 799.996 1955.8 1900
1.5 33.5 799.996 1805.92 1900
2 33.5 799.997 1628.17 1900
2.5 33.5 799.998 1444.98 1900
3 33.5 799.998 1275.16 1900
3.5 33.5 799.999 1131.14 1900
4 33.5 799.999 1018.3 1900
4.5 33.5 799.999 936.137 1900
5 33.5 800 880.309 1900
5.5 33.5 800 844.815 1900
6 33.5 800 823.657 1900
6.5 33.5 800 811.813 1900
7 33.5 800 805.58 1900
7.5 33.5 800 802.493 1900
8 33.5 800 801.054 1900
8.5 33.5 800 800.421 1900
9 33.5 800 800.159 1900
9.5 33.5 800 800.057 1900
10 33.5 800 800.019 1900
-10 34 800 800.025 1900
-9.5 34 800 800.073 1900
-9 34 800 800.205 1900
-8.5 34 800 800.541 1900
-8 34 800 801.353 1900
-7.5 34 800 803.201 1900
-7 34 799.999 807.165 1900
-6.5 34 799.999 815.167 1900
-6 34 799.998 830.374 1900
-5.5 34 799.996 857.54 1900
-5 34 799.992 903.112 1900
-4.5 34 799.987 974.791 1900
-4 34 799.979 1080.29 1900
-3.5 34 799.968 1225.17 1900
-3 34 799.955 1410.08 1900
-2.5 34 799.938 1628.11 1900
-2 34 799.921 1863.31 1900
-1.5 34 799.904 2091.54 1900
-1 34 799.89 2283.98 1900
-0.5 34 799.88 2412.94 1900
0 34 799.877 2458.37 1900
0.5 34 799.88 2412.94 1900
1 34 799.89 2283.98 1900
1.5 34 799.904 2091.54 1900
2 34 799.921 1863.31 1900
2.5 34 799.938 1628.11 1900
3 34 799.955 1410.08 1900
3.5 34 799.968 1225.17 1900
4 34 799.979 1080.29 1900
4.5 34 799.987 974.791 1900
5 34 799.992 903.112 1900
5.5 34 799.996 857.54 1900
6 34 799.998 830.374 1900
6.5 34 799.999 815.167 1900
7 34 799.999 807.165 1900
7.5 34 800 803.201 1900
8 34 800 801.353 1900
8.5 34 800 800.541 1900
9 34 800 800.205 1900
9.5 34 800 800.073 1900
10 34 800 800.025 1900
-10 34.5 800 800.031 1900
-9.5 34.5 800 800.092 1900
-9 34.5 800 800.257 1900
-8.5 34.5 799.999 800.68 1900
-8 34.5 799.998 801.702 1900
-7.5 34.5 799.996 804.026 1900
-7 34.5 799.992 809.01 1900
-6.5 34.5 799.982 819.073 1900
-6 34.5 799.965 838.196 1900
-5.5 34.5 799.933 872.358 1900
-5 34.5 799.88 929.666 1900
-4.5 34.5 799.797 1019.8 1900
-4 34.5 799.674 1152.47 1900
-3.5 34.5 799.505 1334.66 1900
-3 34.5 799.29 1567.19 1900
-2.5 34.5 799.036 1841.37 1900
-2 34.5 798.762 2137.15 1900
-1.5 34.5 798.497 2424.15 1900
-1 34.5 798.273 2666.14 1900
-0.5 34.5 798.122 2828.32 1900
0 34.5 798.07 2885.45 1900
0.5 34.5 798.122 2828.32 1900
1 34.5 798.273 2666.14 1900
1.5 34.5 798.497 2424.15 1900
2 34.5 798.762 2137.15 1900
2.5 34.5 799.036 1841.37 1900
3 34.5 799.29 1567.19 1900
3.5 34.5 799.505 1334.66 1900
4 34.5 799.674 1152.47 1900
4.5 34.5 799.797 1019.8 1900
5 34.5 799.88 929.666 1900
5.5 34.5 799.933 872.358 1900
6 34.5 799.965 838.196 1900
6.5 34.5 799.982 819.073 1900
7 34.5 799.992 809.01 1900
7.5 34.5 799.996 804.026 1900
8 34.5 799.998 801.702 1900
8.5 34.5 799.999 800.68 1900
9 34.5 800 800.257 1900
9.5 34.5 800 800.092 1900
10 34.5 800 800.031 1900
-10 35 800 800.038 1900
-9.5 35 799.999 800.113 1900
-9 35 799.998 800.316 1900
-8.5 35 799.994 800.834 1900
-8 35 799.985 802.086 1900
-7.5 35 799.965 804.936 1900
-7 35 799.921 811.046 1900
-6.5 35 799.832 823.385 1900
-6 35 799.665 846.83 1900
-5.5 35 799.365 888.714 1900
-5 35 798.861 958.975 1900
-4.5 35 798.07 1069.49 1900
-4 35 796.904 1232.14 1900
-3.5 35 795.304 1455.51 1900
-3 35 793.262 1740.61 1900
-2.5 35 790.854 2076.76 1900
-2 35 788.256 2439.4 1900
-1.5 35 785.736 2791.27 1900
-1 35 783.61 3087.96 1900
-0.5 35 782.186 3286.79 1900
0 35 781.684 3356.84 1900
0.5 35 782.186 3286.79 1900
1 35 783.61 3087.96 1900
1.5 35 785.736 2791.27 1900
2 35 788.256 2439.4 1900
2.5 35 790.854 2076.76 1900
3 35 793.262 1740.61 1900
3.5 35 795.304 1455.51 1900
4 35 796.904 1232.14 1900
4.5 35 798.07 1069.49 1900
5 35 798.861 958.975 1900
5.5 35 799.365 888.714 1900
6 35 799.665 846.83 1900
6.5 35 799.832 823.385 1900
7 35 799.921 811.046 1900
7.5 35 799.965 804.936 1900
8 35 799.985 802.086 1900
8.5 35 799.994 800.834 1900
9 35 799.998 800.316 1900
9.5 35 799.999 800.113 1900
10 35 800 800.038 1900
-10 35.5 799.998 800.045 1900
-9.5 35.5 799.995 800.133 1900
-9 35.5 799.987 800.371 1900
-8.5 35.5 799.966 800.982 1900
-8 35.5 799.914 802.455 1900
-7.5 35.5 799.797 805.808 1900
-7 35.5 799.545 812.998 1900
-6.5 35.5 799.036 827.517 1900
-6 35.5 798.07 855.105 1900
-5.5 35.5 796.343 904.389 1900
-5 35.5 793.447 987.065 1900
-4.5 35.5 788.891 1117.1 1900
-4 35.5 782.186 1308.49 1900
-3.5 35.5 772.978 1571.33 1900
-3 35.5 761.226 1906.8 1900
-2.5 35.5 747.369 2302.35 1900
-2 35.5 732.42 2729.06 1900
-1.5 35.5 717.915 3143.11 1900
-1 35.5 705.685 3492.22 1900
-0.5 35.5 697.488 3726.18 1900
0 35.5 694.601 3808.61 1900
0.5 35.5 697.488 3726.18 1900
1 35.5 705.685 3492.22 1900
1.5 35.5 717.915 3143.11 1900
2 35.5 732.42 2729.06 1900
2.5 35.5 747.369 2302.35 1900
3 35.5 761.226 1906.8 1900
3.5 35.5 772.978 1571.33 1900
4 35.5 782.186 1308.49 1900
4.5 35.5 788.891 1117.1 1900
5 35.5 793.447 987.065 1900
5.5 35.5 796.343 904.389 1900
6 35.5 798.07 855.105 1900
6.5 35.5 799.036 827.517 1900
7 35.5 799.545 812.998 1900
7.5 35.5 799.797 805.808 1900
8 35.5 799.914 802.455 1900
8.5 35.5 799.966 800.982 1900
9 35.5 799.987 800.371 1900
9.5 35.5 799.995 800.133 1900
10 35.5 799.998 800.045 1900
-10 36 799.995 800.05 1900
-9.5 36 799.984 800.147 1900
-9 36 799.955 800.41 1900
-8.5 36 799.88 801.084 1900
-8 36 799.7 802.712 1900
-7.5 36 799.29 806.415 1900
-7 36 798.411 814.357 1900
-6.5 36 796.635 830.394 1900
-6 36 793.262 860.866 1900
-5.5 36 787.236 915.303 1900
-5 36 777.127 1006.62 1900
-4.5 36 761.226 1150.26 1900
-4 36 737.823 1361.66 1900
-3.5 36 705.685 1651.98 1900
-3 36 664.665 2022.53 1900
-2.5 36 616.299 2459.43 1900
-2 36 564.123 2930.75 1900
-1.5 36 513.495 3388.09 1900
-1 36 470.807 3773.7 1900
-0.5 36 442.199 4032.13 1900
0 36 432.121 4123.17 1900
0.5 36 442.199 4032.13 1900
1 36 470.807 3773.7 1900
1.5 36 513.495 3388.09 1900
2 36 564.123 2930.75 1900
2.5 36 616.299 2459.43 1900
3 36 664.665 2022.53 1900
3.5 36 705.685 1651.98 1900
4 36 737.823 1361.66 1900
4.5 36 761.226 1150.26 1900
5 36 777.127 1006.62 1900
5.5 36 787.236 915.303 1900
6 36 793.262 860.866 1900
6.5 36 796.635 830.394 1900
7 36 798.411 814.357 1900
7.5 36 799.29 806.415 1900
8 36 799.7 802.712 1900
8.5 36 799.88 801.084 1900
9 36 799.955 800.41 1900
9.5 36 799.984 800.147 1900
10 36 799.995 800.05 1900
-10 36.5 799.988 800.052 1900
-9.5 36.5 799.966 800.155 1900
-9 36.5 799.904 800.433 1900
-8.5 36.5 799.746 801.145 1900
-8 36.5 799.365 802.864 1900
-7.5 36.5 798.497 806.775 1900
-7 36.5 796.635 815.162 1900
-6.5 36.5 792.877 832.098 1900
-6 36.5 785.736 864.28 1900
-5.5 36.5 772.978 921.771 1900
-5 36.5 751.577 1018.21 1900
-4.5 36.5 717.915 1169.91 1900
-4 36.5 668.372 1393.17 1900
-3.5 36.5 600.334 1699.77 1900
-3 36.5 513.495 2091.1 1900
-2.5 36.5 411.104 2552.52 1900
-2 36.5 300.648 3050.28 1900
-1.5 36.5 193.469 3533.27 1900
-1 36.5 103.098 3940.51 1900
-0.5 36.5 42.5349 4213.44 1900
0 36.5 21.1992 4309.58 1900
0.5 36.5 42.5349 4213.44 1900
1 36.5 103.098 3940.51 1900
1.5 36.5 193.469 3533.27 1900
2 36.5 300.648 3050.28 1900
2.5 36.5 411.104 2552.52 1900
3 36.5 513.495 2091.1 1900
3.5 36.5 600.334 1699.77 1900
4 36.5 668.372 1393.17 1900
4.5 36.5 717.915 1169.91 1900
5 36.5 751.577 1018.21 1900
5.5 36.5 772.978 921.771 1900
6 36.5 785.736 864.28 1900
6.5 36.5 792.877 832.098 1900
7 36.5 796.635 815.162 1900
7.5 36.5 798.497 806.775 1900
8 36.5 799.365 802.864 1900
8.5 36.5 799.746 801.145 1900
9 36.5 799.904 800.433 1900
9.5 36.5 799.966 800.155 1900
10 36.5 799.988 800.052 1900
-10 37 799.985 800.058 1900
-9.5 37 799.956 800.171 1900
-9 37 799.877 800.479 1900
-8.5 37 799.674 801.267 1900
-8 37 799.184 803.169 1900
-7.5 37 798.07 807.497 1900
-7 37 795.68 816.779 1900
-6.5 37 790.854 835.52 1900
-6 37 781.684 871.133 1900
-5.5 37 765.303 934.753 1900
-5 37 737.823 1041.48 1900
-4.5 37 694.601 1209.34 1900
-4 37 630.987 1456.4 1900
-3.5 37 543.624 1795.7 1900
-3 37 432.121 2228.75 1900
-2.5 37 300.648 2739.35 1900
-2 37 158.82 3290.17 1900
-1.5 37 21.1992 3824.66 1900
-1 37 -94.8393 4275.32 1900
-0.5 37 -172.604 4577.34 1900
0 37 -200 4683.73 1900
0.5 37 -172.604 4577.34 1900
1 37 -94.8393 4275.32 1900
1.5 37 21.1992 3824.66 1900
2 37 158.82 3290.17 1900
2.5 37 300.648 2739.35 1900
3 37 432.121 2228.75 1900
3.5 37 543.624 1795.7 1900
4 37 630.987 1456.4 1900
4.5 37 694.601 1209.34 1900
5 37 737.823 1041.48 1900
5.5 37 765.303 934.753 1900
6 37 781.684 871.133 1900
6.5 37 790.854 835.52 1900
7 37 795.68 816.779 1900
7.5 37 798.07 807.497 1900
8 37 799.184 803.169 1900
8.5 37 799.674 801.267 1900
9 37 799.877 800.479 1900
9.5 37 799.956 800.171 1900
10 37 799.985 800.058 1900
-10 37.5 799.988 800.07 1900
-9.5 37.5 799.966 800.206 1900
-9 37.5 799.904 800.577 1900
-8.5 37.5 799.746 801.525 1900
-8 37.5 799.365 803.813 1900
-7.5 37.5 798.497 809.021 1900
-7 37.5 796.635 820.188 1900
-6.5 37.5 792.877 842.737 1900
-6 37.5 785.736 885.585 1900
-5.5 37.5 772.978 962.131 1900
-5 37.5 751.577 1090.54 1900
-4.5 37.5 717.915 1292.51 1900
-4 37.5 668.372 1589.77 1900
-3.5 37.5 600.334 1997.99 1900
-3 37.5 513.495 2519.03 1900
-2.5 37.5 411.104 3133.37 1900
-2 37.5 300.648 3796.11 1900
-1.5 37.5 193.469 4439.18 1900
-1 37.5 103.098 4981.41 1900
-0.5 37.5 42.5349 5344.79 1900
0 37.5 21.1992 5472.8 1900
0.5 37.5 42.5349 5344.79 1900
1 37.5 103.098 4981.41 1900
1.5 37.5 193.469 4439.18 1900
2 37.5 300.648 3796.11 1900
2.5 37.5 411.104 3133.37 1900
3 37.5 513.495 2519.03 1900
3.5 37.5 600.334 1997.99 1900
4 37.5 668.372 1589.77 1900
4.5 37.5 717.915 1292.51 1900
5 37.5 751.577 1090.54 1900
5.5 37.5 772.978 962.131 1900
6 37.5 785.736 885.585 1900
6.5 37.5 792.877 842.737 1900
7 37.5 796.635 820.188 1900
7.5 37.5 798.497 809.021 1900
8 37.5 799.365 803.813 1900
8.5 37.5 799.746 801.525 1900
9 37.5 799.904 800.577 1900
9.5 37.5 799.966 800.206 1900
10 37.5 799.988 800.07 1900
-10 38 799.995 800.084 1900
-9.5 38 799.984 800.247 1900
-9 38 799.955 800.691 1900
-8.5 38 799.88 801.826 1900
-8 38 799.7 804.567 1900
-7.5 38 799.29 810.805 1900
-7 38 798.411 824.181 1900
-6.5 38 796.635 851.191 1900
-6 38 793.262 902.515 1900
-5.5 38 787.236 994.202 1900
-5 38 777.127 1148.01 1900
-4.5 38 761.226 1389.93 1900
-4 38 737.823 1745.99 1900
-3.5 38 705.685 2234.97 1900
-3 38 664.665 2859.07 1900
-2.5 38 616.299 3594.94 1900
-2 38 564.123 4388.77 1900
-1.5 38 513.495 5159.05 1900
-1 38 470.807 5808.53 1900
-0.5 38 442.199 6243.79 1900
0 38 432.121 6397.13 1900
0.5 38 442.199 6243.79 1900
1 38 470.807 5808.53 1900
1.5 38 513.495 5159.05 1900
2 38 564.123 4388.77 1900
2.5 38 616.299 3594.94 1900
3 38 664.665 2859.07 1900
3.5 38 705.685 2234.97 1900
4 38 737.823 1745.99 1900
4.5 38 761.226 1389.93 1900
5 38 777.127 1148.01 1900
5.5 38 787.236 994.202 1900
6 38 793.262 902.515 1900
6.5 38 796.635 851.191 1900
7 38 798.411 824.181 1900
7.5 38 799.29 810.805 1900
8 38 799.7 804.567 1900
8.5 38 799.88 801.826 1900
9 38 799.955 800.691 1900
9.5 38 799.984 800.247 1900
10 38 799.995 800.084 1900
-10 38.5 799.998 800.094 1900
-9.5 38.5 799.995 800.278 1900
-9 38.5 799.987 800.777 1900
-8.5 38.5 799.966 802.053 1900
-8 38.5 799.914 805.134 1900
-7.5 38.5 799.797 812.147 1900
-7 38.5 799.545 827.183 1900
-6.5 38.5 799.036 857.547 1900
-6 38.5 798.07 915.244 1900
-5.5 38.5 796.343 1018.32 1900
-5 38.5 793.447 1191.22 1900
-4.5 38.5 788.891 1463.18 1900
-4 38.5 782.186 1863.45 1900
-3.5 38.5 772.978 2413.15 1900
-3 38.5 761.226 3114.74 1900
-2.5 38.5 747.369 3941.98 1900
-2 38.5 732.42 4834.38 1900
-1.5 38.5 717.915 5700.31 1900
-1 38.5 705.685 6430.44 1900
-0.5 38.5 697.488 6919.74 1900
0 38.5 694.601 7092.12 1900
0.5 38.5 697.488 6919.74 1900
1 38.5 705.685 6430.44 1900
1.5 38.5 717.915 5700.31 1900
2 38.5 732.42 4834.38 1900
2.5 38.5 747.369 3941.98 1900
3 38.5 761.226 3114.74 1900
3.5 38.5 772.978 2413.15 1900
4 38.5 782.186 1863.45 1900
4.5 38.5 788.891 1463.18 1900
5 38.5 793.447 1191.22 1900
5.5 38.5 796.343 1018.32 1900
6 38.5 798.07 915.244 1900
6.5 38.5 799.036 857.547 1900
7 38.5 799.545 827.183 1900
7.5 38.5 799.797 812.147 1900
8 38.5 799.914 805.134 1900
8.5 38.5 799.966 802.053 1900
9 38.5 799.987 800.777 1900
9.5 38.5 799.995 800.278 1900
10 38.5 799.998 800.094 1900
-10 39 800 800.1 1900
-9.5 39 799.999 800.296 1900
-9 39 799.998 800.828 1900
-8.5 39 799.994 802.188 1900
-8 39 799.985 805.473 1900
-7.5 39 799.965 812.948 1900
-7 39 799.921 828.977 1900
-6.5 39 799.832 861.344 1900
-6 39 799.665 922.847 1900
-5.5 39 799.365 1032.72 1900
-5 39 798.861 1217.03 1900
-4.5 39 798.07 1506.93 1900
-4 39 796.904 1933.61 1900
-3.5 39 795.304 2519.57 1900
-3 39 793.262 3267.44 1900
-2.5 39 790.854 4149.26 1900
-2 39 788.256 5100.53 1900
-1.5 39 785.736 6023.58 1900
-1 39 783.61 6801.88 1900
-0.5 39 782.186 7323.46 1900
0 39 781.684 7507.21 1900
0.5 39 782.186 7323.46 1900
1 39 783.61 6801.88 1900
1.5 39 785.736 6023.58 1900
2 39 788.256 5100.53 1900
2.5 39 790.854 4149.26 1900
3 39 793.262 3267.44 1900
3.5 39 795.304 2519.57 1900
4 39 796.904 1933.61 1900
4.5 39 798.07 1506.93 1900
5 39 798.861 1217.03 1900
5.5 39 799.365 1032.72 1900
6 39 799.665 922.847 1900
6.5 39 799.832 861.344 1900
7 39 799.921 828.977 1900
7.5 39 799.965 812.948 1900
8 39 799.985 805.473 1900
8.5 39 799.994 802.188 1900
9 39 799.998 800.828 1900
9.5 39 799.999 800.296 1900
10 39 800 800.1 1900
-10 39.5 800 800.104 1900
-9.5 39.5 800 800.306 1900
-9 39.5 800 800.855 1900
-8.5 39.5 799.999 802.261 1900
-8 39.5 799.998 805.654 1900
-7.5 39.5 799.996 813.375 1900
-7 39.5 799.992 829.932 1900
-6.5 39.5 799.982 863.367 1900
-6 39.5 799.965 926.898 1900
-5.5 39.5 799.933 1040.39 1900
-5 39.5 799.88 1230.78 1900
-4.5 39.5 799.797 1530.25 1900
-4 39.5 799.674 1970.99 1900
-3.5 39.5 799.505 2576.28 1900
-3 39.5 799.29 3348.82 1900
-2.5 39.5 799.036 4259.72 1900
-2 39.5 798.762 5242.37 1900
-1.5 39.5 798.497 6195.86 1900
-1 39.5 798.273 6999.82 1900
-0.5 39.5 798.122 7538.61 1900
0 39.5 798.07 7728.42 1900
0.5 39.5 798.122 7538.61 1900
1 39.5 798.273 6999.82 1900
1.5 39.5 798.497 6195.86 1900
2 39.5 798.762 5242.37 1900
2.5 39.5 799.036 4259.72 1900
3 39.5 799.29 3348.82 1900
3.5 39.5 799.505 2576.28 1900
4 39.5 799.674 1970.99 1900
4.5 39.5 799.797 1530.25 1900
5 39.5 799.88 1230.78 1900
5.5 39.5 799.933 1040.39 1900
6 39.5 799.965 926.898 1900
6.5 39.5 799.982 863.367 1900
7 39.5 799.992 829.932 1900
7.5 39.5 799.996 813.375 1900
8 39.5 799.998 805.654 1900
8.5 39.5 799.999 802.261 1900
